id,correlation,n_items,capacity,greedy_profit,dp_profit,gap,greedy_time,dp_time,best_algorithm
187,weak,100,4053,6544,6547,0.00045822514128608525,0.0001238000113517046,0.26941000000806525,dp
188,inverse,100,2802,5733,5735,0.0003487358326068004,0.00013070000568404794,0.18867810000665486,dp
189,uncorrelated,50,1690,2133,2139,0.002805049088359046,8.279999019578099e-05,0.054374100000131875,dp
190,strong,50,863,2028,2028,0.0,7.760000880807638e-05,0.026553999981842935,dp
191,uncorrelated,50,932,2037,2039,0.000980872976949485,7.440004264935851e-05,0.02976570004830137,dp
192,strong,50,818,1945,1958,0.006639427987742594,7.33000342734158e-05,0.024756699975114316,dp
193,inverse,100,1366,4715,4715,0.0,9.320001117885113e-05,0.08674060000339523,dp
194,weak,100,3857,6242,6245,0.00048038430744595676,0.00012809998588636518,0.2512881000293419,dp
195,uncorrelated,100,3577,5181,5185,0.0007714561234329798,0.00011899997480213642,0.23091519996523857,dp
196,strong,200,2459,5986,5988,0.00033400133600534405,0.00017279997700825334,0.3215790999820456,dp
197,uncorrelated,50,556,1401,1409,0.0056777856635912,7.870001718401909e-05,0.016526299994438887,dp
198,weak,100,4573,6913,6928,0.0021651270207852192,0.00010080001084133983,0.3063358999788761,dp
199,strong,200,3762,9039,9043,0.00044233108481698554,0.00017340003978461027,0.49850680003874004,dp
200,inverse,50,1641,3206,3206,0.0,8.420000085607171e-05,0.054707499977666885,dp
201,weak,200,3118,6682,6684,0.0002992220227408737,0.0001631999621167779,0.4080080999992788,dp
202,inverse,100,2888,5372,5376,0.000744047619047619,0.000125700025819242,0.18760470004053786,dp
203,weak,50,1525,2613,2618,0.0019098548510313217,8.189998334273696e-05,0.04991569998674095,dp
204,uncorrelated,50,1871,2446,2448,0.0008169934640522876,8.829997386783361e-05,0.0605457000201568,dp
205,inverse,100,2761,6216,6216,0.0,0.00012379995314404368,0.18082479998702183,dp
206,strong,200,5821,13384,13400,0.0011940298507462687,0.00016830000095069408,0.7591069000191055,dp
207,weak,100,1487,2960,2973,0.004372687521022536,0.00011040002573281527,0.09421270003076643,dp
208,uncorrelated,50,1723,2431,2439,0.003280032800328003,8.650001836940646e-05,0.05561390001093969,dp
209,uncorrelated,50,2103,2133,2133,0.0,8.079997496679425e-05,0.0671674000332132,dp
210,uncorrelated,50,1760,2633,2634,0.00037965072133637056,9.839999256655574e-05,0.05674430000362918,dp
211,inverse,100,1033,4069,4078,0.002206964198136341,0.00010030000703409314,0.06579289998626336,dp
212,inverse,50,1471,2493,2495,0.0008016032064128256,0.0001047999830916524,0.04883699998026714,dp
